Part,Value,Device,Package,Description,,AMOUNT,WHERE,URL,,,
6N137S,6N137S,6N137S,8-SMD,Lite-On 6N137 - High Speed Opto Isolator,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
AUDIO_CONN,19269,AUDIO_3.5MMJACK,4UCONN_19269,3.5MM Audio Jack,,3,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
C4 C5,4.7uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,Ceramic Capacitors,,2,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
C8 C9 C10 C21,0.1uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,Ceramic Capacitors,,4,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
C11,10uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,Ceramic Capacitors,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
C22 C23,2.2uF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,Ceramic Capacitors,,2,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
C28 C29 C30 C31,10uF,CAP_ELECTROLYTICPANASONIC_C,PANASONIC_C,Electrolytic Capacitors,,4,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
C32 C33,2.2nF,CAP_CERAMIC0805-NOOUTLINE,0805-NO,Ceramic Capacitors,,2,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
D2,EGF1A,EGF1A,DIOM449X264X300L114X135N,Diode EGF1A Series 1 A 100 V ,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
J3,TSM-106-02-L-D,,,Header row SMT,,1,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
R1 R6,100k,R-US_R0805,R0805,"RESISTOR, American symbol",,2,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
R5 R7,10k,R-US_R0805,R0805,"RESISTOR, American symbol",,2,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
R9 R10,5.1K,R-US_R0805,R0805,"RESISTOR, American symbol",,2,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
R12 R13 R14,4.7K,R-US_R0805,R0805,"RESISTOR, American symbol",,3,DIGIKEY,https://www.digikey.com/en/mylists/list/90SZQTXF6W,,,
