Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012,77.7,76.5,180,top
C2,22uF,C_1210_3225,72.1,75.9,0,top
C3,4.7uF,C_0805_2012,40.2,26,-90,top
C4,0.1uF,C_0805_2012,23.5,19.8,90,top
C5,4.7uF,C_0805_2012,19.8,19.8,90,top
C6,47pF,C_0805_2012,15.9,20.6,-90,top
C7,47pF,C_0805_2012,16.5875,27.4,90,top
C8,0.1uF,C_0805_2012,26.1,22.1,-90,top
C9,0.1uF,C_0805_2012,112.5,73,0,top
C10,220uF,CAP_WE_865060345007,118.7,36.3,0,top
C11,0.1uF,C_0805_2012,44.2,66.9,180,top
C12,10uF,CAP_WE_865060340001,44.05,72.2,0,top
C13,0.1uF,C_0805_2012,42.4,57.1,-90,top
C14,10uF,CAP_WE_865060340001,48.1,55,180,top
C15,0.1uF,C_0805_2012,51.95,66.9,0,top
C16,10uF,CAP_WE_865060340001,52.75,72.2,180,top
C17,0.1uF,C_0805_2012,38,75.7,-90,top
C18,2.2uF,C_0805_2012,32.6,56.5,-90,top
C19,2.2uF,C_0805_2012,32.6,63.7,90,top
C20,0.47uF,C_0805_2012,19.4,52.5,180,top
C21,220uF,CAP_WE_865060345007,22.1,66.8,0,top
C22,2.2uF,C_0805_2012,40.1,62.9,180,top
C23,2.2uF,C_0805_2012,40.1,65.9,0,top
C24,0.47uF,C_0805_2012,19.4,55.1,180,top
C25,220uF,CAP_WE_865060345007,22.2,76.1,0,top
C26,0.1uF,C_0805_2012,28.2,80.4,90,top
C27,0.1uF,C_0805_2012,53.8,63.4,-90,top
C28,10uF,CAP_WE_865060340001,58.7,66.2,-90,top
C29,4.7uF,C_0805_2012,36.2,5.4,180,top
C30,0.1uF,C_0805_2012,43.6,17.8,180,top
C31,4.7uF,C_0805_2012,31.7,7.2,-90,top
C32,22uF,C_1210_3225,25.5,8.3,0,top
C33,22uF,C_1210_3225,15.4,33.5,0,top
C34,22uF,C_1210_3225,22.1,33.5,180,top
C35,22uF,C_1210_3225,36.9,40.2,-90,top
