"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"COPYRIGHT";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PART_NUMBER_1";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"VALUE";
"6N137S";"6N137S";"6N137S";"8-SMD";"Lite-On 6N137 - High Speed Opto Isolator";"In Stock";"";" Logic Output Optoisolator 15MBd Open Collector 5000Vrms 1 Channel 10kV/µs CMTI 8-SMD ";"";"";"";"Lite-On Inc.";"";"6N137S";"";"";"";"SMD-8 Lite-On Inc.";"";"None";"";"https://pricing.snapeda.com/search/part/6N137S/?ref=eda";"";
"AUDIO_CONN";"19269";"AUDIO_3.5MMJACK";"4UCONN_19269";"3.5MM Audio Jack";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BATTERY";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"4.7uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"4.7uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"10nF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"4.7uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
