Designator,Mid X,Mid Y,Layer,Rotation
6N137S,41.50,39.40,Top,0.0
AUDIO_CONN,67.00, 5.20,Top,180.0
C4,31.40,36.50,Top,180.0
C5,31.30,33.00,Top,0.0
C8,36.50,31.10,Top,90.0
C9,40.00,17.20,Top,0.0
C10,45.40,11.80,Top,0.0
C11,31.20,39.20,Top,0.0
C21,39.90,14.60,Top,0.0
C22,45.50,23.10,Top,0.0
C23,45.50,14.70,Top,0.0
C28,37.20, 4.90,Top,0.0
C29,29.50, 4.90,Top,0.0
C30,21.90, 5.00,Top,0.0
C31,44.90, 5.00,Top,0.0
C32,45.40,20.30,Top,0.0
C33,45.50,17.40,Top,0.0
D2,51.20,33.40,Top,90.0
J1,60.10,35.70,Top,90.0
J3,10.40,25.60,Top,90.0
MIDI_IN_CONN,67.00,15.40,Top,180.0
MIDI_OUT_CONN,67.00,25.50,Top,180.0
POWER,61.00,48.20,Top,90.0
R1,26.30,42.10,Top,180.0
R5,26.20,36.40,Top,180.0
R6,26.20,39.30,Top,180.0
R7,31.40,42.00,Top,180.0
R9,56.60,35.10,Top,0.0
R10,56.60,38.40,Top,0.0
R12,40.10,20.20,Top,0.0
R13,26.30,45.10,Top,0.0
R14,26.10,33.10,Top,0.0
R15,26.30,47.90,Top,0.0
R16,33.80,27.80,Top,90.0
R17,34.10,23.00,Top,0.0
R18,34.00,20.10,Top,0.0
R19,40.20,11.70,Top,0.0
R20,40.20,23.10,Top,0.0
RESET,25.90,52.40,Top,0.0
U1,12.80,47.60,Top,0.0
U2,27.60,24.80,Top,90.0
U3,43.30,29.80,Top,0.0
U6,31.60,13.70,Top,0.0
USBKB,11.20, 8.70,Top,270.0
X2,41.10,52.50,Top,180.0
